family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,33505.349712619725,4188,0.0005985618214800602,0.024465523118872,0.041851916335785826,0.20457740915307787,0.041186222853296255
jordan_gamma_1,split,34217.36601334139,4277,0.0005861063615521376,0.024209633651753958,0.041838063934583676,0.2045435502150671,0.041186222853296255
jordan_gamma_1,split,34944.51324738689,4368,0.0005738958123531347,0.023956122648565954,0.041824483912056856,0.20451035160122544,0.041186222853296255
jordan_gamma_1,split,35687.11295956224,4460,0.0005620576027709624,0.02370775406425,0.04181131798887166,0.2044781601757793,0.041186222853296255
jordan_gamma_1,split,36445.493527765524,4555,0.0005503352158855088,0.023459224537173192,0.04179828087846998,0.20444627871025184,0.041186222853296255
jordan_gamma_1,split,37219.99030819589,4652,0.0005388600404897877,0.023213359095352566,0.04178551870554611,0.2044150647715234,0.041186222853296255
jordan_gamma_1,split,38010.9457836481,4751,0.0005276314267224779,0.022970229139529234,0.04177303074735357,0.20438451689732656,0.041186222853296255
jordan_gamma_1,split,38818.709714958866,4852,0.0005166481674275541,0.022729895895660282,0.041760815661347844,0.20435463210152063,0.041186222853296255
jordan_gamma_1,split,39643.63929567065,4955,0.0005059085586999985,0.022492411135758623,0.041748871552522555,0.20432540603782623,0.041186222853296255
jordan_gamma_1,split,40486.09930998349,5060,0.0004954104561973305,0.022257817866927803,0.041737196036036636,0.20429683315224598,0.041186222853296255
jordan_gamma_1,split,41346.462294062105,5168,0.0004850574513077578,0.02202401987167097,0.04172568189057689,0.2042686512673369,0.041186222853296255
jordan_gamma_1,split,42225.10870077182,5278,0.00047494825849914596,0.02179330765393693,0.04171443890192572,0.20424112931024868,0.041186222853296255
jordan_gamma_1,split,43122.42706791523,5390,0.0004650792037770858,0.02156569506825796,0.041703462984032116,0.20421425754347347,0.041186222853296255
jordan_gamma_1,split,44038.81419004314,5504,0.00045544638596629585,0.021341189891060337,0.041692749798184756,0.20418802559940863,0.041186222853296255
jordan_gamma_1,split,44974.67529391802,5621,0.00044596635978624665,0.02111791561177965,0.041682206540303246,0.20416220644454067,0.041186222853296255
jordan_gamma_1,split,45930.42421770482,5741,0.0004366446452462101,0.020896043770202294,0.04167183934949314,0.20413681527224123,0.041186222853296255
jordan_gamma_1,split,46906.48359397072,5863,0.0004275587426843753,0.020677493626752138,0.04166173441813786,0.20411206338219665,0.041186222853296255
jordan_gamma_1,split,47903.285036573216,5987,0.0004187033419673446,0.02046224186073815,0.04165188584054635,0.20408793653850868,0.041186222853296255
jordan_gamma_1,split,48921.269331520285,6115,0.0004099389874666382,0.020246950078138638,0.04164213852045346,0.2040640549446508,0.041186222853296255
jordan_gamma_1,split,49960.88663188594,6245,0.00040140542968110366,0.020035104933119358,0.04163264788206588,0.2040407995526039,0.041186222853296255
jordan_gamma_1,split,51022.596656867856,6377,0.0003930965827753634,0.01982666343022354,0.041623407156991775,0.20401815398878545,0.041186222853296255
jordan_gamma_1,split,52106.86889507574,6513,0.00038488820948234185,0.01961856797736119,0.04161427817414169,0.2039957797949303,0.041186222853296255
jordan_gamma_1,split,53214.18281213916,6651,0.00037690225655668207,0.019413970654059465,0.04160539655720038,0.20397400951395836,0.041186222853296255
